Title,Body
Mindy nhớ cậu rồi~,Ghé qua kể Mindy nghe hôm nay thế nào nha!
Ê cậu ổn không?,Check-in tâm trạng nhanh nè chỉ 30 giây thôi~
Mindy đang chờ nè!,Lâu rồi chưa thấy cậu cập nhật cảm xúc đi nào!
Buổi sáng nay thế nào?,Bắt đầu ngày mới ghi lại tâm trạng nha~
Trưa rồi nghỉ chút đi!,Tranh thủ check-in cảm xúc với Mindy nha!
Chiều rồi nè~,Cậu đang cảm thấy sao? Kể Mindy nghe nha!
Tối rồi mệt không?,Ghi lại một ngày của cậu cho Mindy đi~
Chuỗi check-in sắp đứt rồi!,Ghé qua giữ streak với Mindy nha đừng quên~
Hôm nay cậu chưa ghé nè,Mindy muốn biết cậu đang thế nào lắm!
30 giây cho bản thân nha~,Dừng lại một chút cập nhật cảm xúc nào!
Psst... Mindy đây!,Cậu có khỏe không? Vào nói chuyện nha~
Ding dong~,Mindy gõ cửa nè! Check-in cảm xúc đi cậu!
Cậu ơi cậu ơi~,Lâu rồi chưa gặp Mindy muốn nghe cậu kể!